ID	Ra (deg)	Dec (deg)	Dist (deg)	J
0.0	346.62747040425495	-5.0443446306239474	0.000383	11.354000091552734
1.0	346.6230794060695	-5.054754992283642	0.013405	16.743999481201172
2.0	346.60964125776593	-5.03626861562197	0.013443	14.465999603271484
3.0	346.64206145690684	-5.04464086717358	0.019844	16.0049991607666
4.0	346.61766951698235	-5.021557346818587	0.021502	15.788000106811523
5.0	346.633259920714	-5.02279165452165	0.023304	17.179000854492188
6.0	346.65000667102544	-5.0394398364872925	0.027611	13.295000076293945
7.0	346.59565694423384	-5.031747129519731	0.028307	14.956000328063965
8.0	346.6099822741408	-5.071368457343842	0.032513	14.607999801635742
9.0	346.62713887452384	-5.0737937501850405	0.032614	16.32200050354004
10.0	346.58587430961165	-5.049972713002962	0.037444	15.517000198364258
